genres,num_ratings
"adventure, crime, drama, romance, thriller",8
"adventure, crime, drama, romance, war",24
"adventure, crime, drama, thriller",418
"adventure, crime, drama, western",31
"adventure, crime, horror",13
"adventure, crime, horror, thriller",100
"adventure, crime, mystery",2
"adventure, crime, mystery, romance",6
"adventure, crime, mystery, romance, thriller",2
"adventure, crime, thriller",352
"adventure, crime, thriller, western",3
"adventure, documentary",3376
"adventure, documentary, drama",354
"adventure, documentary, drama, mystery, thriller",6
"adventure, documentary, drama, thriller",31
"adventure, documentary, drama, war",2
"adventure, documentary, imax",117
"adventure, documentary, sci-fi",3
"adventure, documentary, western",23
"adventure, drama",91666
"adventure, drama, fantasy",9325
"adventure, drama, fantasy, film-noir",17
"adventure, drama, fantasy, horror",18
"adventure, drama, fantasy, horror, thriller",1
"adventure, drama, fantasy, imax",14346
"adventure, drama, fantasy, musical, romance",6
"adventure, drama, fantasy, mystery",3
"adventure, drama, fantasy, mystery, sci-fi",8305
"adventure, drama, fantasy, romance",6198
"adventure, drama, fantasy, romance, imax",1569
"adventure, drama, fantasy, romance, thriller",33
"adventure, drama, fantasy, thriller",9
"adventure, drama, film-noir, thriller",25
"adventure, drama, horror",52
"adventure, drama, horror, mystery",327
"adventure, drama, horror, mystery, thriller",747
"adventure, drama, horror, sci-fi",8
"adventure, drama, horror, sci-fi, thriller",644
"adventure, drama, horror, thriller",3106
"adventure, drama, imax",57751
"adventure, drama, mystery",172
"adventure, drama, mystery, sci-fi, thriller",185
"adventure, drama, mystery, thriller",2442
"adventure, drama, romance",15338
"adventure, drama, romance, sci-fi",7152
"adventure, drama, romance, thriller",105
"adventure, drama, romance, thriller, war",1011
"adventure, drama, romance, war",869
"adventure, drama, romance, war, western",2
"adventure, drama, romance, western",51
"adventure, drama, sci-fi",107422
"adventure, drama, sci-fi, thriller",4660
"adventure, drama, sci-fi, war",8
"adventure, drama, thriller",31002
"adventure, drama, thriller, imax",4744
"adventure, drama, thriller, war",67
"adventure, drama, war",41840
"adventure, drama, war, western",1301
"adventure, drama, western",45051
"adventure, fantasy",153729
"adventure, fantasy, film-noir, mystery, sci-fi",44
"adventure, fantasy, horror",28
"adventure, fantasy, horror, romance, sci-fi, thriller",68
"adventure, fantasy, horror, sci-fi",5
"adventure, fantasy, imax",49327
"adventure, fantasy, musical",8800
"adventure, fantasy, musical, romance",121
"adventure, fantasy, mystery",71
"adventure, fantasy, mystery, romance, imax",14175
"adventure, fantasy, mystery, thriller",33
"adventure, fantasy, romance",7226
"adventure, fantasy, romance, sci-fi",25
"adventure, fantasy, romance, sci-fi, thriller",2673
"adventure, fantasy, sci-fi",892
"adventure, fantasy, sci-fi, western",1
"adventure, fantasy, thriller, imax",18848
"adventure, film-noir, sci-fi, thriller",12170
"adventure, horror",195
"adventure, horror, mystery",39
"adventure, horror, mystery, thriller",138
"adventure, horror, romance, sci-fi",93
"adventure, horror, sci-fi",1195
"adventure, horror, sci-fi, thriller",8
"adventure, horror, thriller",164
"adventure, musical",337
"adventure, musical, romance",7
"adventure, musical, romance, sci-fi",55
"adventure, mystery",10
"adventure, mystery, romance",1
"adventure, mystery, romance, thriller",5
"adventure, mystery, sci-fi",20
"adventure, mystery, sci-fi, thriller",2034
"adventure, mystery, thriller",390
"adventure, mystery, western",23
"adventure, romance",3528
"adventure, romance, imax",65
"adventure, romance, sci-fi",38
"adventure, romance, sci-fi, imax",3939
"adventure, romance, thriller",2537
"adventure, romance, war",105
"adventure, romance, war, western",185
"adventure, romance, western",91
"adventure, sci-fi",29632
"adventure, sci-fi, thriller",8817
"adventure, thriller",1617
"adventure, thriller, war",5
"adventure, thriller, western",704
"adventure, war",1241
"adventure, war, western",399
"adventure, western",8728
animation,11620
"animation, children",34049
"animation, children, comedy",63558
"animation, children, comedy, crime",24931
"animation, children, comedy, drama",555
"animation, children, comedy, drama, fantasy",2654
"animation, children, comedy, drama, fantasy, musical",12
"animation, children, comedy, drama, fantasy, romance, sci-fi",20
"animation, children, comedy, drama, romance",597
"animation, children, comedy, fantasy",3223
"animation, children, comedy, fantasy, horror",13
"animation, children, comedy, fantasy, musical",11
"animation, children, comedy, fantasy, musical, romance, imax",7695
"animation, children, comedy, fantasy, mystery, romance",44
"animation, children, comedy, fantasy, sci-fi",7
"animation, children, comedy, horror",32
"animation, children, comedy, imax",4695
"animation, children, comedy, musical",13609
"animation, children, comedy, musical, romance",15145
"animation, children, comedy, musical, sci-fi",38
"animation, children, comedy, musical, western",438
"animation, children, comedy, mystery",205
"animation, children, comedy, mystery, western",9
"animation, children, comedy, romance",14033
"animation, children, comedy, sci-fi",42
"animation, children, comedy, thriller",33
"animation, children, comedy, western",12
"animation, children, drama",32014
"animation, children, drama, fantasy",9375
"animation, children, drama, fantasy, imax",988
"animation, children, drama, fantasy, musical",17940
"animation, children, drama, musical",9088
"animation, children, drama, musical, romance",24137
"animation, children, drama, sci-fi",10
"animation, children, fantasy",5590
"animation, children, fantasy, imax",3580
"animation, children, fantasy, musical",60479
"animation, children, fantasy, musical, romance",11951
"animation, children, fantasy, musical, romance, imax",35723
"animation, children, fantasy, mystery",1880
"animation, children, fantasy, romance",57
"animation, children, fantasy, sci-fi",30
"animation, children, fantasy, thriller",5
"animation, children, fantasy, war",3919
"animation, children, musical",13449
"animation, children, musical, imax",4112
"animation, children, musical, romance",18
"animation, children, mystery",61
"animation, children, romance",43
"animation, children, sci-fi",31
"animation, children, thriller",36
"animation, comedy",33830
"animation, comedy, crime",2
"animation, comedy, documentary",5
"animation, comedy, drama",522
"animation, comedy, drama, fantasy",446
"animation, comedy, drama, fantasy, romance",1
"animation, comedy, drama, fantasy, sci-fi",546
"animation, comedy, drama, musical",71
"animation, comedy, drama, romance",46
"animation, comedy, drama, romance, sci-fi",1896
"animation, comedy, fantasy",6600
"animation, comedy, fantasy, musical",2109
"animation, comedy, fantasy, musical, romance",7577
"animation, comedy, fantasy, romance",2
"animation, comedy, fantasy, sci-fi",189
"animation, comedy, horror",15
"animation, comedy, horror, imax",890
"animation, comedy, horror, musical",119
"animation, comedy, horror, sci-fi",17
"animation, comedy, musical",19557
"animation, comedy, musical, romance",18
"animation, comedy, mystery",87
"animation, comedy, romance",2665
"animation, comedy, romance, sci-fi",4
"animation, comedy, sci-fi",785
"animation, comedy, sci-fi, war",4
"animation, comedy, thriller",13
"animation, comedy, war",425
"animation, comedy, western",8
"animation, crime, documentary",4
"animation, crime, documentary, drama",3
"animation, crime, drama",387
"animation, crime, drama, fantasy, thriller",51
"animation, crime, drama, horror, mystery",157
"animation, crime, fantasy, mystery, sci-fi",2
"animation, crime, mystery",99
"animation, crime, mystery, sci-fi, thriller",52
"animation, crime, mystery, thriller",4
"animation, crime, sci-fi",10
"animation, crime, thriller",5
"animation, crime, war",20
"animation, documentary",613
"animation, documentary, drama",23
"animation, documentary, drama, fantasy",29
"animation, documentary, drama, war",1570
"animation, documentary, sci-fi",1
"animation, documentary, war",14
"animation, drama",5345
"animation, drama, fantasy",4934
"animation, drama, fantasy, mystery",60
"animation, drama, fantasy, romance",1620
"animation, drama, fantasy, sci-fi",7
"animation, drama, horror",44
"animation, drama, horror, thriller",10
"animation, drama, musical",9
"animation, drama, mystery",14
"animation, drama, mystery, sci-fi, thriller",4612
"animation, drama, mystery, thriller",3
"animation, drama, romance",4801
"animation, drama, romance, sci-fi",82
"animation, drama, romance, sci-fi, war",150
"animation, drama, sci-fi",87
"animation, drama, sci-fi, imax",260
"animation, drama, sci-fi, war",284
"animation, drama, thriller",11
"animation, drama, war",5078
"animation, drama, western",28
"animation, fantasy",3131
"animation, fantasy, horror",290
"animation, fantasy, horror, mystery",45
"animation, fantasy, horror, sci-fi",1671
"animation, fantasy, horror, thriller",1
"animation, fantasy, musical",4
"animation, fantasy, musical, imax",1068
"animation, fantasy, musical, sci-fi",48
"animation, fantasy, mystery",330
"animation, fantasy, mystery, thriller",68
"animation, fantasy, romance",2
"animation, fantasy, sci-fi",101
"animation, fantasy, sci-fi, war",196
"animation, fantasy, thriller",7210
"animation, horror",284
"animation, horror, imax",18
"animation, horror, mystery",29
"animation, horror, mystery, sci-fi",6
"animation, horror, mystery, thriller",1722
"animation, horror, sci-fi",8
"animation, musical",7470
"animation, musical, romance",74
"animation, mystery",34
"animation, mystery, sci-fi",2523
"animation, mystery, thriller",44
"animation, romance",593
"animation, romance, sci-fi",64
"animation, sci-fi",12797
"animation, sci-fi, imax",2443
"animation, sci-fi, thriller",21
"animation, thriller",24
"animation, war",225
"animation, western",6
children,2281
"children, comedy",135968
"children, comedy, crime",399
"children, comedy, crime, drama",19
"children, comedy, crime, drama, fantasy",1032
"children, comedy, crime, fantasy",1
"children, comedy, crime, musical",310
"children, comedy, crime, mystery",16
"children, comedy, documentary",1
"children, comedy, drama",13926
"children, comedy, drama, fantasy",712
"children, comedy, drama, fantasy, romance, sci-fi",1
"children, comedy, drama, fantasy, sci-fi",9
"children, comedy, drama, musical",162
"children, comedy, drama, musical, romance",1168
"children, comedy, drama, mystery",127
"children, comedy, drama, romance",25
"children, comedy, drama, sci-fi",7
"children, comedy, drama, thriller",9
"children, comedy, drama, western",2
"children, comedy, fantasy",82164
"children, comedy, fantasy, horror",3714
"children, comedy, fantasy, musical",44724
"children, comedy, fantasy, musical, romance",24
"children, comedy, fantasy, mystery",2
"children, comedy, fantasy, mystery, sci-fi",3
"children, comedy, fantasy, romance",2828
"children, comedy, fantasy, sci-fi",1884
"children, comedy, horror",38
"children, comedy, horror, thriller",6
"children, comedy, musical",7326
"children, comedy, musical, romance",1009
"children, comedy, mystery",1922
"children, comedy, romance",16692
"children, comedy, romance, sci-fi",768
"children, comedy, sci-fi",5813
"children, comedy, thriller",2
"children, comedy, western",2486
"children, crime, documentary",8
"children, crime, drama",63
"children, crime, drama, thriller",11
"children, documentary",615
"children, documentary, drama",12
"children, documentary, drama, romance",5
"children, documentary, fantasy, sci-fi",2
"children, documentary, imax",3
"children, drama",55487
"children, drama, fantasy",16108
"children, drama, fantasy, horror, mystery, thriller",11
"children, drama, fantasy, musical",2
"children, drama, fantasy, musical, romance",38
"children, drama, fantasy, mystery",3775
"children, drama, fantasy, mystery, thriller",1298
"children, drama, fantasy, romance",16646
"children, drama, fantasy, romance, sci-fi",5
"children, drama, fantasy, sci-fi",73
"children, drama, horror",13
"children, drama, musical",433
"children, drama, mystery",4224
"children, drama, mystery, thriller",9
"children, drama, romance",203
"children, drama, romance, western",7
"children, drama, sci-fi",34692
"children, drama, sci-fi, thriller",6
"children, drama, thriller",39
"children, drama, war",1141
"children, drama, western",3
"children, fantasy",3038
"children, fantasy, horror",5
"children, fantasy, horror, mystery, sci-fi, thriller",155
"children, fantasy, horror, romance",5
"children, fantasy, horror, sci-fi",11
"children, fantasy, horror, thriller",12
"children, fantasy, musical",1478
"children, fantasy, musical, romance",183
"children, fantasy, mystery",8
"children, fantasy, romance",11
"children, fantasy, sci-fi",202
"children, horror",20
"children, horror, mystery",2
"children, horror, mystery, thriller",228
"children, horror, sci-fi",12
"children, horror, sci-fi, thriller",3
"children, musical",3810
"children, musical, romance",77
"children, musical, sci-fi",33
"children, mystery",102
"children, mystery, sci-fi",23
"children, mystery, thriller",2
"children, romance",164
"children, sci-fi",3191
"children, thriller",6
"children, war",6
"children, western",102
comedy,1512682
"comedy, crime",259513
"comedy, crime, documentary",1
"comedy, crime, drama",96895
"comedy, crime, drama, fantasy",453
"comedy, crime, drama, fantasy, horror",9
"comedy, crime, drama, fantasy, mystery, thriller",1
"comedy, crime, drama, film-noir, musical",234
"comedy, crime, drama, film-noir, thriller",22
"comedy, crime, drama, horror",96
"comedy, crime, drama, horror, mystery",168
"comedy, crime, drama, horror, mystery, romance, thriller",19
"comedy, crime, drama, horror, mystery, thriller",9
"comedy, crime, drama, horror, thriller",8
"comedy, crime, drama, musical",10240
"comedy, crime, drama, musical, mystery, romance",177
"comedy, crime, drama, musical, romance",8
"comedy, crime, drama, mystery",1429
"comedy, crime, drama, mystery, romance",2624
"comedy, crime, drama, mystery, thriller",3117
"comedy, crime, drama, romance",4691
"comedy, crime, drama, romance, thriller",12063
"comedy, crime, drama, romance, western",1
"comedy, crime, drama, sci-fi, thriller",23
"comedy, crime, drama, thriller",146913
"comedy, crime, drama, war",712
"comedy, crime, drama, western",94
"comedy, crime, fantasy",164
"comedy, crime, film-noir",13
"comedy, crime, film-noir, mystery, romance, thriller",12
"comedy, crime, horror",5583
"comedy, crime, horror, mystery, thriller",184
"comedy, crime, horror, sci-fi, thriller",1
"comedy, crime, horror, thriller",99
"comedy, crime, musical",1341
"comedy, crime, musical, mystery",881
"comedy, crime, mystery",12756
"comedy, crime, mystery, romance",1005
"comedy, crime, mystery, romance, thriller",4267
"comedy, crime, mystery, thriller",14381
"comedy, crime, romance",21630
"comedy, crime, romance, thriller",1047
"comedy, crime, romance, western",2
"comedy, crime, sci-fi",15
"comedy, crime, thriller",73886
"comedy, crime, western",51
"comedy, documentary",21214
"comedy, documentary, drama",11757
"comedy, documentary, drama, mystery",3
"comedy, documentary, drama, romance",167
"comedy, documentary, horror",1
"comedy, documentary, musical",347
"comedy, documentary, romance",143
"comedy, drama",721432
"comedy, drama, fantasy",62763
"comedy, drama, fantasy, horror",89
"comedy, drama, fantasy, horror, thriller",40
"comedy, drama, fantasy, musical",135
"comedy, drama, fantasy, musical, romance",286
"comedy, drama, fantasy, mystery",1026
"comedy, drama, fantasy, mystery, romance",428
"comedy, drama, fantasy, mystery, sci-fi, thriller",26
"comedy, drama, fantasy, romance",69174
"comedy, drama, fantasy, romance, sci-fi",3
"comedy, drama, fantasy, romance, thriller",28517
"comedy, drama, fantasy, sci-fi",1590
"comedy, drama, fantasy, thriller",5
"comedy, drama, fantasy, war",2
"comedy, drama, film-noir",2763
"comedy, drama, film-noir, romance",16
"comedy, drama, horror",1527
"comedy, drama, horror, mystery",7
"comedy, drama, horror, romance",8
"comedy, drama, horror, romance, thriller",23
"comedy, drama, horror, sci-fi",73
"comedy, drama, horror, sci-fi, thriller",1645
"comedy, drama, horror, thriller",85
"comedy, drama, musical",19963
"comedy, drama, musical, imax",340
"comedy, drama, musical, mystery",220
"comedy, drama, musical, romance",15059
"comedy, drama, musical, romance, war",134
"comedy, drama, musical, sci-fi",4322
"comedy, drama, mystery",7901
"comedy, drama, mystery, romance",1065
"comedy, drama, mystery, romance, thriller",23
"comedy, drama, mystery, sci-fi",64
"comedy, drama, mystery, sci-fi, thriller",333
"comedy, drama, mystery, thriller",788
"comedy, drama, romance",715769
"comedy, drama, romance, sci-fi",726
"comedy, drama, romance, thriller",2108
"comedy, drama, romance, war",106136
"comedy, drama, romance, western",327
"comedy, drama, sci-fi",36176
"comedy, drama, sci-fi, thriller",484
"comedy, drama, sci-fi, war",676
"comedy, drama, thriller",20427
"comedy, drama, war",39727
"comedy, drama, war, western",2
"comedy, drama, western",1121
"comedy, fantasy",73766
"comedy, fantasy, horror",6587
"comedy, fantasy, horror, musical, thriller",388
"comedy, fantasy, horror, mystery",12
"comedy, fantasy, horror, romance",12
"comedy, fantasy, horror, romance, sci-fi",2
"comedy, fantasy, horror, sci-fi",72
"comedy, fantasy, horror, sci-fi, thriller",13
"comedy, fantasy, horror, thriller",4984
"comedy, fantasy, musical",1852
"comedy, fantasy, musical, romance",223
"comedy, fantasy, mystery",1340
"comedy, fantasy, mystery, romance",30
"comedy, fantasy, mystery, sci-fi",108
"comedy, fantasy, mystery, sci-fi, thriller",6
"comedy, fantasy, romance",87375
"comedy, fantasy, romance, sci-fi",19203
"comedy, fantasy, romance, thriller",5
"comedy, fantasy, sci-fi",16675
"comedy, fantasy, thriller",2549
"comedy, film-noir, thriller",34
"comedy, horror",108366
"comedy, horror, imax",1734
"comedy, horror, musical",8764
"comedy, horror, musical, mystery, romance",7
"comedy, horror, musical, sci-fi",13431
"comedy, horror, musical, western",167
"comedy, horror, mystery",341
"comedy, horror, mystery, romance",1
"comedy, horror, mystery, sci-fi",196
"comedy, horror, mystery, sci-fi, western",1
"comedy, horror, mystery, thriller",31431
"comedy, horror, romance",4368
"comedy, horror, romance, sci-fi",2
"comedy, horror, romance, thriller",2393
"comedy, horror, sci-fi",15043
"comedy, horror, sci-fi, thriller",8160
"comedy, horror, thriller",28816
"comedy, horror, western",2
"comedy, musical",43858
"comedy, musical, mystery, thriller",8
"comedy, musical, romance",60354
"comedy, musical, romance, war",11
"comedy, musical, romance, western",964
"comedy, musical, sci-fi",1730
"comedy, musical, war",5562
"comedy, musical, western",804
"comedy, mystery",8405
"comedy, mystery, romance",836
"comedy, mystery, romance, thriller",12
"comedy, mystery, romance, western",3
"comedy, mystery, sci-fi",146
"comedy, mystery, thriller",10609
"comedy, romance",902051
"comedy, romance, sci-fi",4707
"comedy, romance, sci-fi, thriller",608
"comedy, romance, thriller",12094
"comedy, romance, thriller, western",33
"comedy, romance, war",213
"comedy, romance, western",183
"comedy, sci-fi",98985
"comedy, sci-fi, thriller",924
"comedy, sci-fi, thriller, western",1
"comedy, sci-fi, war",18
"comedy, thriller",26789
"comedy, war",50169
"comedy, war, western",710
"comedy, western",32572
crime,6927
"crime, documentary",1665
"crime, documentary, drama",165
"crime, documentary, drama, war",93
"crime, documentary, mystery",37
"crime, documentary, war",547
"crime, drama",594888
"crime, drama, fantasy",63
"crime, drama, fantasy, film-noir, mystery, romance",4630
"crime, drama, fantasy, horror, thriller",1215
"crime, drama, fantasy, mystery, thriller",326
"crime, drama, fantasy, romance, thriller",46
"crime, drama, fantasy, thriller",3805
"crime, drama, film-noir",21116
"crime, drama, film-noir, mystery",3056
"crime, drama, film-noir, mystery, romance",54
"crime, drama, film-noir, mystery, thriller",12551
"crime, drama, film-noir, romance",55
"crime, drama, film-noir, romance, thriller",444
"crime, drama, film-noir, thriller",27291
"crime, drama, horror",1695
"crime, drama, horror, musical",11
"crime, drama, horror, mystery",60
"crime, drama, horror, mystery, romance",1
"crime, drama, horror, mystery, sci-fi, thriller",1
"crime, drama, horror, mystery, thriller",9708
"crime, drama, horror, romance",1
"crime, drama, horror, sci-fi",22
"crime, drama, horror, thriller",2790
"crime, drama, musical",293
"crime, drama, musical, romance",50
"crime, drama, musical, thriller",529
"crime, drama, mystery",50520
"crime, drama, mystery, romance",118
"crime, drama, mystery, romance, thriller",17882
"crime, drama, mystery, sci-fi",19
"crime, drama, mystery, sci-fi, thriller",3
"crime, drama, mystery, thriller",86230
"crime, drama, mystery, thriller, war",657
"crime, drama, romance",42416
"crime, drama, romance, thriller",19034
"crime, drama, romance, war",2774
"crime, drama, sci-fi",2
"crime, drama, sci-fi, thriller",32738
"crime, drama, thriller",286819
"crime, drama, thriller, war",587
"crime, drama, thriller, western",261
"crime, drama, war",1230
"crime, drama, western",7607
"crime, fantasy",3
"crime, fantasy, horror",1732
"crime, fantasy, horror, thriller",9
"crime, fantasy, mystery",4
"crime, film-noir",9334
"crime, film-noir, horror, romance, thriller",25
"crime, film-noir, mystery",8548
"crime, film-noir, mystery, romance",38
"crime, film-noir, mystery, romance, thriller",32
"crime, film-noir, mystery, thriller",50772
"crime, film-noir, romance",112
"crime, film-noir, thriller",11927
"crime, horror",23353
"crime, horror, mystery",827
"crime, horror, mystery, romance, thriller",4
"crime, horror, mystery, sci-fi",62
"crime, horror, mystery, sci-fi, thriller",85
"crime, horror, mystery, thriller",27530
"crime, horror, romance",14
"crime, horror, sci-fi",75
"crime, horror, thriller",90795
"crime, musical",560
"crime, mystery",2876
"crime, mystery, romance",4
"crime, mystery, romance, thriller",5128
"crime, mystery, sci-fi",127
"crime, mystery, sci-fi, thriller",207
"crime, mystery, thriller",132624
"crime, mystery, war",79
"crime, romance",250
"crime, romance, thriller",2449
"crime, sci-fi",121
"crime, sci-fi, thriller",5278
"crime, thriller",114422
"crime, thriller, war",8851
"crime, thriller, western",31
"crime, western",190
documentary,234981
"documentary, drama",9439
"documentary, drama, horror",3
"documentary, drama, musical",201
"documentary, drama, mystery",8
"documentary, drama, romance",75
"documentary, drama, sci-fi",63
"documentary, drama, thriller",56
"documentary, drama, war",241
"documentary, fantasy",214
"documentary, horror",1615
"documentary, horror, mystery",8
"documentary, horror, thriller",24
"documentary, horror, war",15
"documentary, imax",3106
"documentary, musical",12831
"documentary, musical, imax",485
"documentary, musical, war",15
"documentary, mystery",1050
"documentary, mystery, romance, sci-fi",5
"documentary, romance",27
"documentary, romance, war",9
"documentary, sci-fi",638
"documentary, thriller",133
"documentary, war",8331
"documentary, western",24
drama,1765705
"drama, fantasy",18418
"drama, fantasy, horror",3699
"drama, fantasy, horror, mystery",93
"drama, fantasy, horror, mystery, romance",34
"drama, fantasy, horror, mystery, thriller",3097
"drama, fantasy, horror, romance",5699
"drama, fantasy, horror, romance, thriller",2842
"drama, fantasy, horror, sci-fi",53
"drama, fantasy, horror, sci-fi, thriller",133
"drama, fantasy, horror, thriller",17987
"drama, fantasy, horror, thriller, war",1661
"drama, fantasy, musical",2417
"drama, fantasy, musical, mystery, sci-fi",636
"drama, fantasy, musical, romance",3018
"drama, fantasy, mystery",4096
"drama, fantasy, mystery, romance",25728
"drama, fantasy, mystery, romance, sci-fi",18
"drama, fantasy, mystery, romance, thriller",826
"drama, fantasy, mystery, sci-fi",9953
"drama, fantasy, mystery, thriller",1073
"drama, fantasy, romance",84646
"drama, fantasy, romance, sci-fi",4567
"drama, fantasy, romance, thriller",6435
"drama, fantasy, romance, war",13
"drama, fantasy, sci-fi",1590
"drama, fantasy, sci-fi, thriller",362
"drama, fantasy, thriller",22293
"drama, fantasy, thriller, war",118
"drama, fantasy, war",574
"drama, film-noir",4853
"drama, film-noir, horror, mystery",96
"drama, film-noir, musical",9
"drama, film-noir, musical, thriller",11
"drama, film-noir, mystery",1116
"drama, film-noir, mystery, romance",1595
"drama, film-noir, mystery, romance, sci-fi",4
"drama, film-noir, mystery, thriller",1030
"drama, film-noir, romance",9116
"drama, film-noir, romance, thriller",29
"drama, film-noir, thriller",6813
"drama, film-noir, war",26
"drama, horror",47595
"drama, horror, musical",118
"drama, horror, musical, thriller",6639
"drama, horror, mystery",56620
"drama, horror, mystery, romance",9
"drama, horror, mystery, romance, thriller",1687
"drama, horror, mystery, sci-fi",116
"drama, horror, mystery, sci-fi, thriller",2447
"drama, horror, mystery, thriller",38691
"drama, horror, mystery, thriller, war",30
"drama, horror, romance",1354
"drama, horror, romance, sci-fi, thriller",8
"drama, horror, romance, thriller",5612
"drama, horror, sci-fi",17489
"drama, horror, sci-fi, thriller",13709
"drama, horror, sci-fi, war",3
"drama, horror, thriller",85296
"drama, horror, thriller, war",90
"drama, horror, war",337
"drama, horror, western",3
"drama, imax",40
"drama, musical",50246
"drama, musical, mystery",489
"drama, musical, romance",63408
"drama, musical, romance, imax",2243
"drama, musical, romance, sci-fi",17
"drama, musical, romance, war",117
"drama, musical, thriller",130
"drama, musical, war",11
"drama, mystery",78900
"drama, mystery, romance",9957
"drama, mystery, romance, sci-fi",5
"drama, mystery, romance, sci-fi, thriller",1181
"drama, mystery, romance, thriller",39669
"drama, mystery, romance, war",2117
"drama, mystery, sci-fi",7067
"drama, mystery, sci-fi, thriller",72353
"drama, mystery, thriller",182891
"drama, mystery, thriller, war",73
"drama, mystery, war",1559
"drama, mystery, western",10447
"drama, romance",796335
"drama, romance, sci-fi",60902
"drama, romance, sci-fi, thriller",2765
"drama, romance, thriller",43061
"drama, romance, thriller, war",854
"drama, romance, war",60290
"drama, romance, war, western",15840
"drama, romance, western",6155
"drama, sci-fi",84432
"drama, sci-fi, imax",7982
"drama, sci-fi, thriller",92753
"drama, sci-fi, thriller, imax",2080
"drama, sci-fi, war",4
"drama, sci-fi, western",62
"drama, thriller",365955
"drama, thriller, war",53214
"drama, thriller, western",878
"drama, war",283562
"drama, war, western",739
"drama, western",42453
fantasy,8066
"fantasy, horror",6252
"fantasy, horror, musical",363
"fantasy, horror, mystery",2659
"fantasy, horror, mystery, romance",14669
"fantasy, horror, mystery, thriller",5463
"fantasy, horror, romance",29
"fantasy, horror, romance, sci-fi",1
"fantasy, horror, romance, thriller",9802
"fantasy, horror, sci-fi",86
"fantasy, horror, sci-fi, thriller",3427
"fantasy, horror, sci-fi, western",610
"fantasy, horror, thriller",13189
"fantasy, horror, war",5
"fantasy, horror, western",3
"fantasy, imax",42
"fantasy, musical",212
"fantasy, musical, romance",909
"fantasy, mystery",4
"fantasy, mystery, romance",2
"fantasy, mystery, romance, thriller",207
"fantasy, mystery, sci-fi",68
"fantasy, mystery, sci-fi, thriller",21
"fantasy, mystery, sci-fi, war",69
"fantasy, mystery, thriller",690
"fantasy, mystery, western",85
"fantasy, romance",2003
"fantasy, romance, sci-fi",48
"fantasy, romance, thriller",188
"fantasy, romance, thriller, imax",2857
"fantasy, sci-fi",16253
"fantasy, sci-fi, thriller",23
"fantasy, thriller",224
"fantasy, western",549
film-noir,3174
"film-noir, horror",49
"film-noir, horror, mystery, thriller",2817
"film-noir, horror, thriller",86
"film-noir, mystery",12335
"film-noir, mystery, romance, thriller",6
"film-noir, mystery, thriller",9205
"film-noir, romance, thriller",5062
"film-noir, thriller",973
"film-noir, thriller, war",47
horror,186534
"horror, imax",1208
"horror, musical",74
"horror, musical, thriller",522
"horror, mystery",27546
"horror, mystery, romance",101
"horror, mystery, romance, sci-fi",19
"horror, mystery, romance, thriller",3
"horror, mystery, sci-fi",4643
"horror, mystery, sci-fi, thriller",12656
"horror, mystery, thriller",75777
"horror, mystery, thriller, western",3
"horror, mystery, western",9
"horror, romance",2043
"horror, romance, sci-fi",419
"horror, romance, sci-fi, thriller",8
"horror, romance, thriller",709
"horror, sci-fi",91285
"horror, sci-fi, thriller",90572
"horror, sci-fi, thriller, war",49
"horror, sci-fi, western",12
"horror, thriller",174353
"horror, thriller, imax",644
"horror, thriller, war",31
"horror, thriller, western",130
"horror, war",57
"horror, western",3549
imax,27
musical,9737
"musical, romance",19563
"musical, romance, war",1922
"musical, romance, western",643
"musical, sci-fi",155
"musical, war",14
"musical, western",396
mystery,3983
"mystery, romance",17
"mystery, romance, sci-fi",295
"mystery, romance, sci-fi, thriller",10922
"mystery, romance, thriller",6496
"mystery, romance, western",16
"mystery, sci-fi",2102
"mystery, sci-fi, thriller",69124
"mystery, sci-fi, thriller, imax",4642
"mystery, thriller",152870
"mystery, thriller, war",8
"mystery, thriller, western",98
"mystery, western",64
romance,17256
"romance, sci-fi",2863
"romance, sci-fi, thriller",5601
"romance, thriller",5000
"romance, war",1419
"romance, western",1745
sci-fi,40031
"sci-fi, imax",22634
"sci-fi, thriller",36081
"sci-fi, thriller, imax",2393
"sci-fi, thriller, war",5
"sci-fi, thriller, western",9
"sci-fi, war",36
"sci-fi, western",90
thriller,178943
"thriller, war",316
"thriller, western",121
war,4190
"war, western",49
western,45049
