genre,avg_rating,total_ratings
"children, comedy, western",2.86,2486
"children, sci-fi",2.85,3191
"adventure, children, drama",2.85,27739
"adventure, children, comedy",2.85,18352
"action, children, comedy, fantasy, sci-fi",2.85,4997
"action, fantasy, sci-fi",2.84,8182
"comedy, crime, musical",2.83,1341
"action, sci-fi, thriller, western, imax",2.83,2474
"action, adventure, animation, children, fantasy",2.82,1522
"action, adventure, children, fantasy",2.82,5045
"action, sci-fi, war",2.82,3837
"animation, children, fantasy, war",2.82,3919
"adventure, animation, children, comedy, fantasy, sci-fi",2.81,11798
"comedy, drama, fantasy, sci-fi",2.81,1590
"comedy, fantasy, romance, sci-fi",2.81,19203
"action, animation, children, comedy",2.81,760
"action, adventure, comedy, crime, thriller",2.81,9138
"adventure, drama, horror, mystery, thriller",2.79,747
"drama, sci-fi, thriller, imax",2.79,2080
"adventure, children, fantasy, sci-fi, thriller",2.78,686
"adventure, romance",2.78,3528
"comedy, musical, sci-fi",2.78,1730
"adventure, fantasy, romance, sci-fi, thriller",2.77,2673
children,2.77,2281
"horror, imax",2.77,1208
"action, comedy, romance, thriller",2.76,2982
"action, adventure, crime, drama, romance, thriller",2.76,1036
"fantasy, horror, sci-fi, western",2.75,610
"children, comedy, fantasy, romance",2.74,2828
"action, comedy, crime, fantasy, thriller, imax",2.72,1783
"adventure, animation, children, fantasy, musical, romance",2.72,2070
"children, comedy, romance, sci-fi",2.72,768
"adventure, children, comedy, fantasy, sci-fi",2.72,16107
"action, adventure, sci-fi, war, imax",2.72,2854
"action, animation, children, fantasy",2.72,571
"comedy, fantasy, thriller",2.71,2549
"comedy, fantasy, musical",2.71,1852
"adventure, comedy, mystery",2.7,644
"comedy, horror, romance, thriller",2.68,2393
"action, adventure, children",2.67,3745
"adventure, comedy, mystery, romance",2.66,2958
"action, fantasy, horror, mystery, thriller",2.65,5214
"action, adventure, fantasy, horror, thriller",2.65,726
"action, comedy, horror, sci-fi",2.64,3383
"adventure, children, comedy, fantasy, romance",2.63,1603
"action, adventure, mystery, sci-fi",2.6,13871
"action, children, fantasy",2.6,3045
"children, comedy, drama, musical, romance",2.59,1168
"action, adventure, children, comedy",2.56,12465
"adventure, romance, thriller",2.53,2537
"adventure, drama, fantasy, romance, imax",2.52,1569
"action, crime, sci-fi, thriller",2.5,5228
"action, fantasy, thriller",2.45,4400
"action, adventure, thriller, war",2.45,3821
"drama, fantasy, romance, thriller",2.44,6435
"action, adventure, crime, drama",2.44,1880
"action, fantasy, sci-fi, thriller",2.44,1677
"adventure, children, fantasy, sci-fi",2.42,835
"fantasy, romance, thriller, imax",2.38,2857
"action, fantasy",2.38,4026
"action, comedy, fantasy, thriller",2.36,679
"adventure, children, comedy, fantasy, mystery",2.35,3119
"drama, fantasy, horror, romance, thriller",2.35,2842
"action, comedy, sci-fi, western",2.32,11723
"children, comedy, sci-fi",2.32,5813
"action, adventure, fantasy, thriller",2.32,15137
"action, children, romance",2.28,3458
"action, adventure, children, comedy, mystery",2.28,1042
"action, horror, mystery, thriller",2.26,680
"action, crime, fantasy",2.23,3338
"adventure, animation, children, fantasy, sci-fi",2.21,1641
"action, adventure, children, drama",2.19,3568
"action, children, comedy",2.11,2811
"action, adventure, children, comedy, fantasy, sci-fi",2.08,5578
"action, children",1.98,3181
"documentary, horror",1.95,1615
"adventure, drama, horror, sci-fi, thriller",1.91,644
